state,action,reward,next_state
35,3,-0.10000000000000002,36
36,0,-0.10000000000000002,26
26,3,-0.10000000000000002,25
25,2,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,0,-0.10000000000000002,24
24,0,-0.10000000000000002,24
24,1,-0.10000000000000002,25
25,2,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,3,-0.10000000000000002,24
24,3,-0.10000000000000002,25
25,1,-0.10000000000000002,35
52,2,-0.10000000000000002,53
53,0,-0.10000000000000002,53
53,0,-0.10000000000000002,63
63,1,-0.10000000000000002,73
73,3,-0.10000000000000002,74
74,1,-0.345,74
74,3,-4.265,75
75,1,0.0,75
75,3,0.0,75
75,0,0.0,75
1,1,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,0,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,2,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,3,-0.10000000000000002,10
10,0,-0.10000000000000002,10
10,2,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,0,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,1,-0.10000000000000002,30
30,0,-0.10000000000000002,20
20,3,-0.10000000000000002,20
20,2,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,0,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,0,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,0,-0.10000000000000002,10
10,2,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,2,-0.10000000000000002,30
30,0,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,1,-0.10000000000000002,30
30,0,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,1,-0.10000000000000002,30
30,1,-0.10000000000000002,31
31,3,-4.265,32
32,1,0.0,32
32,3,0.0,32
32,1,0.0,32
53,1,-0.10000000000000002,52
52,1,-0.10000000000000002,53
53,3,-0.10000000000000002,53
53,2,-0.10000000000000002,52
52,0,-0.10000000000000002,52
52,0,-0.10000000000000002,52
52,2,-0.10000000000000002,51
51,2,-0.345,50
50,3,-0.10000000000000002,51
51,2,-0.345,50
50,3,-0.10000000000000002,51
51,2,-0.345,50
50,0,-0.10000000000000002,50
50,0,-0.10000000000000002,50
50,0,-0.10000000000000002,50
50,2,-0.10000000000000002,50
50,2,-0.10000000000000002,50
50,0,-0.10000000000000002,50
50,3,-0.10000000000000002,60
60,0,-0.345,50
50,0,-0.10000000000000002,50
50,0,-0.10000000000000002,50
50,3,-0.10000000000000002,51
51,2,-0.345,50
50,2,-0.10000000000000002,50
50,2,-0.10000000000000002,50
50,3,-0.10000000000000002,51
51,2,-0.345,50
50,2,-0.10000000000000002,50
50,3,-0.10000000000000002,60
60,0,-0.345,50
50,3,-0.10000000000000002,51
51,3,-0.345,52
52,2,-0.10000000000000002,51
51,1,-4.265,61
61,3,0.0,61
61,2,0.0,61
61,2,0.0,61
19,1,-0.345,29
29,1,-0.10000000000000002,39
39,0,-0.10000000000000002,29
29,3,-0.10000000000000002,19
19,2,-4.265,18
18,0,0.0,18
18,0,0.0,18
18,3,0.0,18
19,2,-4.265,18
18,1,0.0,18
18,2,0.0,18
18,3,0.0,18
83,0,-0.10000000000000002,73
73,0,-0.10000000000000002,63
63,1,-0.10000000000000002,73
73,1,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,0,-0.10000000000000002,83
83,0,-0.10000000000000002,73
73,3,-0.10000000000000002,74
74,1,-0.345,74
74,2,-0.345,73
73,0,-0.10000000000000002,63
63,1,-0.10000000000000002,63
63,2,-0.10000000000000002,73
73,2,-0.10000000000000002,73
73,0,-0.10000000000000002,74
74,0,-0.345,74
74,0,-0.345,74
74,1,-0.345,74
74,3,-4.265,75
75,1,0.0,75
75,3,0.0,75
75,1,0.0,75
73,3,-0.10000000000000002,74
74,0,-0.345,74
74,1,-0.345,74
74,2,-0.345,73
73,0,-0.10000000000000002,63
63,0,-0.10000000000000002,63
63,2,-0.10000000000000002,73
73,0,-0.10000000000000002,63
63,1,-0.10000000000000002,73
73,1,-0.10000000000000002,83
83,1,-0.10000000000000002,93
93,2,-0.10000000000000002,93
93,1,-0.10000000000000002,93
93,1,-0.10000000000000002,93
93,0,-0.10000000000000002,83
83,1,-0.10000000000000002,83
83,2,-0.10000000000000002,93
93,0,-0.10000000000000002,83
83,3,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,1,-0.10000000000000002,83
83,3,-0.10000000000000002,83
83,1,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,1,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,2,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,1,-0.10000000000000002,92
92,3,-0.10000000000000002,93
93,0,-0.10000000000000002,83
83,3,-0.10000000000000002,83
83,3,-0.10000000000000002,83
83,1,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,3,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,1,-0.10000000000000002,93
93,1,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,0,-0.10000000000000002,92
60,3,-4.265,61
61,2,0.0,61
61,0,0.0,61
61,2,0.0,61
51,2,-0.345,50
50,1,-0.10000000000000002,60
60,2,-0.345,60
60,1,-0.345,70
70,2,-0.10000000000000002,70
70,3,-0.10000000000000002,71
71,2,-0.345,70
70,3,-0.10000000000000002,71
71,2,-0.345,70
70,1,-0.10000000000000002,60
60,2,-0.345,70
70,3,-0.10000000000000002,60
60,2,-0.345,60
60,0,-0.345,50
50,1,-0.10000000000000002,60
60,2,-0.345,60
60,1,-0.345,70
70,1,-0.10000000000000002,80
80,1,-0.10000000000000002,90
90,2,-0.10000000000000002,90
90,1,-0.10000000000000002,90
90,1,-0.10000000000000002,90
90,1,-0.10000000000000002,90
90,3,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,0,-0.10000000000000002,91
91,0,-0.10000000000000002,92
92,3,-0.10000000000000002,93
93,0,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,3,-0.10000000000000002,93
93,1,-0.10000000000000002,93
93,1,-0.10000000000000002,93
93,0,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,0,-0.10000000000000002,73
73,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,1,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,1,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,0,-0.10000000000000002,92
16,0,-0.10000000000000002,6
6,2,-0.10000000000000002,5
5,3,-0.10000000000000002,6
6,2,-0.10000000000000002,5
5,0,-0.10000000000000002,5
5,2,-0.10000000000000002,5
5,0,-0.10000000000000002,15
15,2,-0.10000000000000002,15
15,2,-0.10000000000000002,15
15,0,-0.10000000000000002,16
16,1,-0.10000000000000002,26
26,0,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,1,-0.10000000000000002,35
35,1,-0.10000000000000002,25
25,0,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,2,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,3,-0.345,33
33,3,-0.345,33
33,0,-0.345,23
23,1,-0.10000000000000002,33
33,3,-0.345,33
33,0,-0.345,33
33,1,-0.345,33
33,3,-0.345,33
33,2,-4.265,32
32,0,0.0,32
32,0,0.0,32
32,0,0.0,32
35,3,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,2,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,0,-0.10000000000000002,26
26,1,-0.10000000000000002,26
26,2,-0.10000000000000002,26
26,1,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,3,-0.10000000000000002,35
35,0,-0.10000000000000002,25
25,1,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,2,-0.10000000000000002,26
26,2,-0.10000000000000002,25
25,1,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
60,1,-0.345,70
70,3,-0.10000000000000002,71
71,0,-4.265,61
61,3,0.0,61
61,3,0.0,61
61,1,0.0,61
29,1,-0.10000000000000002,39
39,0,-0.10000000000000002,38
38,3,-0.10000000000000002,39
39,1,-0.10000000000000002,39
39,3,-0.10000000000000002,39
39,2,-0.10000000000000002,38
38,3,-0.10000000000000002,39
39,1,-0.10000000000000002,39
39,0,-0.10000000000000002,29
29,3,-0.10000000000000002,29
29,0,-0.10000000000000002,19
19,1,-0.345,29
29,2,-0.10000000000000002,28
28,2,-0.345,28
28,2,-0.345,28
28,3,-0.345,29
29,0,-0.10000000000000002,19
19,2,-4.265,18
18,2,0.0,18
18,3,0.0,18
18,1,0.0,18
80,2,-0.10000000000000002,80
80,3,-0.10000000000000002,81
81,2,-0.10000000000000002,71
71,0,-4.265,61
61,1,0.0,61
61,2,0.0,61
61,3,0.0,61
23,2,-0.10000000000000002,23
23,1,-0.10000000000000002,13
13,3,-0.10000000000000002,13
13,2,-0.10000000000000002,23
23,3,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,3,-0.10000000000000002,33
33,0,-0.345,23
23,3,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,0,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,1,-0.10000000000000002,13
13,1,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,3,-0.345,33
33,3,-0.345,33
33,1,-0.345,33
33,2,-4.265,32
32,3,0.0,32
32,1,0.0,32
32,3,0.0,32
50,3,-0.10000000000000002,51
51,3,-0.345,52
52,3,-0.10000000000000002,53
53,0,-0.10000000000000002,53
53,2,-0.10000000000000002,52
52,1,-0.10000000000000002,52
52,2,-0.10000000000000002,51
51,3,-0.345,52
52,3,-0.10000000000000002,52
52,0,-0.10000000000000002,52
52,2,-0.10000000000000002,51
51,2,-0.345,50
50,2,-0.10000000000000002,50
50,1,-0.10000000000000002,60
60,1,-0.345,70
70,3,-0.10000000000000002,71
71,2,-0.345,70
70,2,-0.10000000000000002,70
70,2,-0.10000000000000002,70
70,3,-0.10000000000000002,71
71,1,-0.345,81
81,0,-0.10000000000000002,71
71,0,-4.265,61
61,3,0.0,61
61,1,0.0,61
61,0,0.0,61
20,2,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,2,-0.10000000000000002,30
30,3,-0.10000000000000002,31
31,3,-4.265,31
31,1,-0.345,32
32,2,0.0,32
32,0,0.0,32
32,1,0.0,32
90,1,-0.10000000000000002,90
90,1,-0.10000000000000002,90
90,2,-0.10000000000000002,90
90,3,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,0,-0.10000000000000002,81
81,0,-0.10000000000000002,71
71,2,-0.345,61
61,2,0.0,61
61,0,0.0,61
61,3,0.0,61
31,1,-0.345,41
41,0,-0.10000000000000002,31
31,2,-0.345,30
30,2,-0.10000000000000002,20
20,3,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,3,-0.10000000000000002,31
31,0,-0.345,31
31,0,-0.345,32
32,3,0.0,32
32,0,0.0,32
32,1,0.0,32
5,1,-0.10000000000000002,5
5,2,-0.10000000000000002,5
5,1,-0.10000000000000002,15
15,1,-0.10000000000000002,25
25,2,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,3,-0.10000000000000002,24
24,3,-0.10000000000000002,25
25,1,-0.10000000000000002,35
35,0,-0.10000000000000002,36
36,0,-0.10000000000000002,26
26,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,0,-0.10000000000000002,36
36,1,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,0,-0.10000000000000002,25
25,3,-0.10000000000000002,26
26,2,-0.10000000000000002,16
16,1,-0.10000000000000002,26
26,3,-0.10000000000000002,26
26,1,-0.10000000000000002,25
25,3,-0.10000000000000002,26
26,0,-0.10000000000000002,16
16,0,-0.10000000000000002,6
6,0,-0.10000000000000002,6
6,0,-0.10000000000000002,6
6,2,-0.10000000000000002,5
5,0,-0.10000000000000002,5
5,2,-0.10000000000000002,5
5,0,-0.10000000000000002,6
6,1,-0.10000000000000002,16
16,3,-0.10000000000000002,16
16,1,-0.10000000000000002,26
26,2,-0.10000000000000002,25
25,2,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,3,-0.10000000000000002,24
24,1,-0.10000000000000002,24
13,1,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,3,-0.10000000000000002,24
24,1,-0.10000000000000002,23
23,0,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,2,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,2,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,1,-0.10000000000000002,12
12,0,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,2,-0.10000000000000002,1
1,3,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,0,-0.10000000000000002,2
2,1,-0.10000000000000002,12
12,1,-0.10000000000000002,2
2,2,-0.10000000000000002,12
12,3,-0.10000000000000002,13
13,2,-0.10000000000000002,12
12,0,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,2,-0.10000000000000002,0
2,2,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,2,-0.10000000000000002,3
3,1,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,2,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,2,-0.10000000000000002,1
1,2,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,0,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,2,-0.10000000000000002,10
10,0,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,1,-0.10000000000000002,20
20,1,-0.10000000000000002,30
30,2,-0.10000000000000002,30
30,2,-0.10000000000000002,30
30,3,-0.10000000000000002,31
31,2,-0.345,41
41,3,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,0,-0.10000000000000002,31
31,1,-0.345,41
41,0,-0.10000000000000002,31
31,3,-4.265,32
1,3,-0.10000000000000002,2
2,2,-0.10000000000000002,3
3,0,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,3,-0.10000000000000002,3
3,1,-0.10000000000000002,13
13,2,-0.10000000000000002,12
12,3,-0.10000000000000002,13
13,0,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,1,-0.345,33
33,1,-0.345,32
32,0,0.0,32
32,1,0.0,32
32,1,0.0,32
33,0,-0.345,23
23,1,-0.10000000000000002,33
33,2,-4.265,32
32,3,0.0,32
32,3,0.0,32
32,0,0.0,32
74,3,-4.265,75
75,0,0.0,75
75,3,0.0,75
75,1,0.0,75
24,0,-0.10000000000000002,24
24,3,-0.10000000000000002,25
25,1,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,2,-0.10000000000000002,35
35,2,-0.10000000000000002,35
35,1,-0.10000000000000002,35
35,0,-0.10000000000000002,25
25,2,-0.10000000000000002,24
24,0,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,2,-0.10000000000000002,23
23,0,-0.10000000000000002,24
24,0,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,3,-0.345,33
33,1,-0.345,33
33,3,-0.345,33
33,0,-0.345,23
23,0,-0.10000000000000002,13
13,1,-0.10000000000000002,23
23,3,-0.10000000000000002,24
24,3,-0.10000000000000002,25
25,1,-0.10000000000000002,35
35,2,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,3,-0.10000000000000002,26
26,0,-0.10000000000000002,16
16,1,-0.10000000000000002,26
26,1,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,3,-0.10000000000000002,26
26,1,-0.10000000000000002,36
36,3,-0.10000000000000002,36
36,0,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,0,-0.10000000000000002,26
26,2,-0.10000000000000002,25
25,3,-0.10000000000000002,26
26,0,-0.10000000000000002,16
16,2,-0.10000000000000002,15
15,0,-0.10000000000000002,5
5,0,-0.10000000000000002,5
5,1,-0.10000000000000002,15
15,0,-0.10000000000000002,5
5,1,-0.10000000000000002,15
15,0,-0.10000000000000002,5
5,3,-0.10000000000000002,6
6,1,-0.10000000000000002,16
16,1,-0.10000000000000002,16
41,2,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,3,-0.10000000000000002,41
41,2,-0.10000000000000002,41
41,3,-0.10000000000000002,41
41,3,-0.10000000000000002,41
41,1,-0.10000000000000002,51
51,3,-0.345,52
52,0,-0.10000000000000002,52
52,2,-0.10000000000000002,51
51,0,-0.345,41
41,3,-0.10000000000000002,41
41,0,-0.10000000000000002,31
31,2,-0.345,30
30,1,-0.10000000000000002,30
30,0,-0.10000000000000002,20
20,2,-0.10000000000000002,20
20,0,-0.10000000000000002,10
10,0,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,2
2,3,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,0,-0.10000000000000002,2
2,1,-0.10000000000000002,12
12,0,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,1,-0.10000000000000002,0
0,1,-0.10000000000000002,10
10,0,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,0,-0.10000000000000002,1
33,0,-0.345,23
23,0,-0.10000000000000002,23
23,3,-0.10000000000000002,24
24,0,-0.10000000000000002,24
24,3,-0.10000000000000002,23
23,0,-0.10000000000000002,13
13,1,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,0,-0.345,23
23,1,-0.10000000000000002,33
33,3,-0.345,33
33,3,-0.345,33
33,2,-4.265,32
32,0,0.0,32
32,0,0.0,32
32,0,0.0,32
74,2,-0.345,73
73,2,-0.10000000000000002,73
73,3,-0.10000000000000002,74
74,3,-4.265,75
75,3,0.0,75
75,0,0.0,75
75,0,0.0,75
91,0,-0.10000000000000002,81
81,0,-0.10000000000000002,71
71,3,-0.345,71
71,3,-0.345,71
71,3,-0.345,71
71,2,-0.345,70
70,2,-0.10000000000000002,70
70,2,-0.10000000000000002,70
70,1,-0.10000000000000002,80
80,3,-0.10000000000000002,81
81,3,-0.10000000000000002,81
81,0,-0.10000000000000002,71
71,1,-0.345,81
81,1,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,0,-0.10000000000000002,81
81,2,-0.10000000000000002,80
80,1,-0.10000000000000002,90
90,3,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,2,-0.10000000000000002,90
90,2,-0.10000000000000002,91
91,1,-0.10000000000000002,91
91,2,-0.10000000000000002,90
90,0,-0.10000000000000002,80
80,0,-0.10000000000000002,70
70,0,-0.10000000000000002,60
60,1,-0.345,50
50,2,-0.10000000000000002,50
50,2,-0.10000000000000002,50
50,1,-0.10000000000000002,60
60,2,-0.345,60
60,1,-0.345,70
70,2,-0.10000000000000002,70
70,0,-0.10000000000000002,60
60,0,-0.345,50
50,0,-0.10000000000000002,50
50,3,-0.10000000000000002,51
51,2,-0.345,50
50,3,-0.10000000000000002,50
50,2,-0.10000000000000002,50
50,1,-0.10000000000000002,60
60,3,-4.265,61
61,3,0.0,61
61,0,0.0,61
61,0,0.0,61
63,0,-0.10000000000000002,53
53,2,-0.10000000000000002,52
52,3,-0.10000000000000002,53
53,2,-0.10000000000000002,52
52,3,-0.10000000000000002,53
53,2,-0.10000000000000002,52
52,1,-0.10000000000000002,52
52,3,-0.10000000000000002,53
53,3,-0.10000000000000002,52
52,1,-0.10000000000000002,52
52,0,-0.10000000000000002,52
52,0,-0.10000000000000002,52
52,3,-0.10000000000000002,53
53,0,-0.10000000000000002,53
53,0,-0.10000000000000002,53
53,0,-0.10000000000000002,53
53,1,-0.10000000000000002,53
53,1,-0.10000000000000002,63
63,0,-0.10000000000000002,53
53,1,-0.10000000000000002,63
63,2,-0.10000000000000002,63
63,1,-0.10000000000000002,73
73,1,-0.10000000000000002,83
83,2,-0.10000000000000002,83
83,1,-0.10000000000000002,83
83,1,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,2,-0.10000000000000002,92
92,3,-0.10000000000000002,92
92,0,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,0,-0.10000000000000002,81
81,2,-0.10000000000000002,80
80,0,-0.10000000000000002,70
70,2,-0.10000000000000002,70
70,1,-0.10000000000000002,71
71,2,-0.345,70
70,1,-0.10000000000000002,80
80,1,-0.10000000000000002,70
70,0,-0.10000000000000002,60
60,3,-4.265,61
61,0,0.0,61
61,0,0.0,61
61,1,0.0,61
90,0,-0.10000000000000002,80
80,0,-0.10000000000000002,70
70,0,-0.10000000000000002,60
60,2,-0.345,60
60,3,-4.265,61
61,3,0.0,61
61,3,0.0,61
61,2,0.0,61
1,3,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,2,-0.10000000000000002,1
1,2,-0.10000000000000002,0
0,0,-0.10000000000000002,0
0,3,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,1,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,0,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,1,-0.10000000000000002,12
12,2,-0.10000000000000002,12
12,1,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,1,-0.10000000000000002,12
12,3,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,2,-0.10000000000000002,2
2,0,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,1,-0.10000000000000002,13
13,2,-0.10000000000000002,23
23,0,-0.10000000000000002,13
13,1,-0.10000000000000002,23
23,0,-0.10000000000000002,13
13,2,-0.10000000000000002,12
12,3,-0.10000000000000002,13
13,3,-0.10000000000000002,13
13,0,-0.10000000000000002,3
3,1,-0.10000000000000002,13
13,1,-0.10000000000000002,23
23,2,-0.10000000000000002,23
23,1,-0.10000000000000002,33
33,0,-0.345,23
23,3,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,1,-0.10000000000000002,24
24,3,-0.10000000000000002,23
23,0,-0.10000000000000002,24
24,3,-0.10000000000000002,25
25,3,-0.10000000000000002,35
35,3,-0.10000000000000002,36
36,0,-0.10000000000000002,36
92,2,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,0,-0.10000000000000002,92
92,1,-0.10000000000000002,92
92,3,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,0,-0.10000000000000002,93
93,2,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,3,-0.10000000000000002,92
92,2,-0.10000000000000002,91
91,0,-0.10000000000000002,81
81,1,-0.10000000000000002,91
91,0,-0.10000000000000002,81
81,3,-0.10000000000000002,81
81,0,-0.10000000000000002,71
71,1,-0.345,71
71,0,-4.265,61
61,1,0.0,61
61,3,0.0,61
61,0,0.0,61
39,3,-0.10000000000000002,39
39,3,-0.10000000000000002,39
39,0,-0.10000000000000002,29
29,0,-0.10000000000000002,19
19,1,-0.345,29
29,2,-0.10000000000000002,28
28,0,-4.265,18
18,3,0.0,18
18,1,0.0,18
18,0,0.0,18
71,1,-0.345,81
81,0,-0.10000000000000002,71
71,0,-4.265,61
61,3,0.0,61
61,1,0.0,61
61,1,0.0,61
25,0,-0.10000000000000002,15
15,3,-0.10000000000000002,16
16,1,-0.10000000000000002,26
26,0,-0.10000000000000002,25
25,0,-0.10000000000000002,15
15,2,-0.10000000000000002,15
15,0,-0.10000000000000002,16
16,2,-0.10000000000000002,15
15,0,-0.10000000000000002,5
5,0,-0.10000000000000002,5
